127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000226
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000213
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000193
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000430
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000219
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000234
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000211
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000189
127.0.0.1, 2014-10-23 18:13:36, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2014-10-23 18:13:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000310
127.0.0.1, 2014-10-23 18:13:37, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000375
127.0.0.1, 2014-10-23 18:13:37, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000247
127.0.0.1, 2014-10-23 18:13:37, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000226
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/default/index, HTTP/1.1, 200, 0.078878
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000291
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.000375
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000263
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000238
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000303
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000470
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000254
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000218
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000221
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000506
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000308
127.0.0.1, 2014-10-23 18:13:39, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000216
127.0.0.1, 2014-10-23 18:13:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000208
127.0.0.1, 2014-10-23 18:13:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2014-10-23 18:13:42, POST, /admin/default/index, HTTP/1.1, 303, 0.063324
127.0.0.1, 2014-10-23 18:13:42, GET, /admin/default/site, HTTP/1.1, 200, 0.067171
127.0.0.1, 2014-10-23 18:13:42, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.000355
127.0.0.1, 2014-10-23 18:13:42, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.000215
127.0.0.1, 2014-10-23 18:13:42, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000343
127.0.0.1, 2014-10-23 18:13:43, POST, /admin/default/check_version, HTTP/1.1, 200, 0.487464
127.0.0.1, 2014-10-23 18:14:07, POST, /admin/default/site, HTTP/1.1, 303, 0.095174
127.0.0.1, 2014-10-23 18:14:07, GET, /admin/default/design/betastore, HTTP/1.1, 200, 0.121101
127.0.0.1, 2014-10-23 18:14:07, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000454
127.0.0.1, 2014-10-23 18:14:07, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000206
127.0.0.1, 2014-10-23 18:14:07, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000193
127.0.0.1, 2014-10-23 18:14:07, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000196
127.0.0.1, 2014-10-23 18:14:11, GET, /admin/default/peek/betastore/models/db.py, HTTP/1.1, 200, 0.038013
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/default/edit/betastore/models/db.py, HTTP/1.1, 200, 0.067829
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000444
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000335
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000222
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000257
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000217
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000215
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000206
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000244
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000330
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000278
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000216
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000220
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000288
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000222
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000189
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000329
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000456
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000279
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000215
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000288
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000246
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000208
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000755
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000266
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000252
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000301
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/js/ajax_editor.js, HTTP/1.1, 200, 0.000186
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/js/typeahead.min.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2014-10-23 18:14:13, GET, /admin/static/_2.9.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2014-10-23 18:14:14, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000334
127.0.0.1, 2014-10-23 18:14:14, GET, /admin/static/_2.9.11/images/files_toggle.png, HTTP/1.1, 200, 0.000276
